year,county,Description,LineCode,GeoFips,GDP_Change
2010,Crowley,Government and government enterprises,83.0,8025,-0.8
2010,Custer,All industry total,1.0,8027,-0.8
2010,Custer,Private industries,2.0,8027,-1.3
2010,Custer,"Agriculture, forestry, fishing and hunting",3.0,8027,(D)
2010,Custer,Real estate and rental and leasing,56.0,8027,-0.9
2010,Custer,Government and government enterprises,83.0,8027,3.1
2010,Delta,All industry total,1.0,8029,0.2
2010,Delta,Private industries,2.0,8029,0.3
2010,Delta,"Agriculture, forestry, fishing and hunting",3.0,8029,-35.8
2010,Delta,Real estate and rental and leasing,56.0,8029,-1.5
2010,Delta,Government and government enterprises,83.0,8029,-0.1
2010,Denver,All industry total,1.0,8031,1.5
2010,Denver,Private industries,2.0,8031,1.4
2010,Denver,"Agriculture, forestry, fishing and hunting",3.0,8031,4120.1
2010,Denver,Real estate and rental and leasing,56.0,8031,5.2
2010,Denver,Government and government enterprises,83.0,8031,2.2
2010,Dolores,All industry total,1.0,8033,-3
2010,Dolores,Private industries,2.0,8033,-3.5
2010,Dolores,"Agriculture, forestry, fishing and hunting",3.0,8033,-56.3
2010,Dolores,Real estate and rental and leasing,56.0,8033,(D)
2010,Dolores,Government and government enterprises,83.0,8033,7.2
2010,Douglas,All industry total,1.0,8035,0.9
2010,Douglas,Private industries,2.0,8035,1.1
2010,Douglas,"Agriculture, forestry, fishing and hunting",3.0,8035,(D)
2010,Douglas,Real estate and rental and leasing,56.0,8035,1.2
2010,Douglas,Government and government enterprises,83.0,8035,-2.6
2010,Eagle,All industry total,1.0,8037,-6.7
2010,Eagle,Private industries,2.0,8037,-7.2
2010,Eagle,"Agriculture, forestry, fishing and hunting",3.0,8037,-68.4
2010,Eagle,Real estate and rental and leasing,56.0,8037,-10.5
2010,Eagle,Government and government enterprises,83.0,8037,-0.6
2010,Elbert,All industry total,1.0,8039,0
2010,Elbert,Private industries,2.0,8039,0
2010,Elbert,"Agriculture, forestry, fishing and hunting",3.0,8039,-56.8
2010,Elbert,Real estate and rental and leasing,56.0,8039,4.3
2010,Elbert,Government and government enterprises,83.0,8039,-0.3
2010,Fremont,All industry total,1.0,8043,0.4
2010,Fremont,Private industries,2.0,8043,-0.4
2010,Fremont,"Agriculture, forestry, fishing and hunting",3.0,8043,-78
2010,Fremont,Real estate and rental and leasing,56.0,8043,-2.1
2010,Fremont,Government and government enterprises,83.0,8043,1.9
2010,Garfield,All industry total,1.0,8045,4.6
2010,Garfield,Private industries,2.0,8045,5
2010,Garfield,"Agriculture, forestry, fishing and hunting",3.0,8045,-72.3
2010,Garfield,Real estate and rental and leasing,56.0,8045,0.7
2010,Garfield,Government and government enterprises,83.0,8045,-0.3
2010,Gilpin,All industry total,1.0,8047,16.3
2010,Gilpin,Private industries,2.0,8047,16.8
2010,Gilpin,"Agriculture, forestry, fishing and hunting",3.0,8047,(D)
2010,Gilpin,Real estate and rental and leasing,56.0,8047,6.6
2010,Gilpin,Government and government enterprises,83.0,8047,7.1
2010,Grand,All industry total,1.0,8049,-0.1
2010,Grand,Private industries,2.0,8049,-0.3
2010,Grand,"Agriculture, forestry, fishing and hunting",3.0,8049,(D)
2010,Grand,Real estate and rental and leasing,56.0,8049,1.2
2010,Grand,Government and government enterprises,83.0,8049,1.4
2010,Gunnison,All industry total,1.0,8051,-3.8
2010,Gunnison,Private industries,2.0,8051,-4.5
2010,Gunnison,"Agriculture, forestry, fishing and hunting",3.0,8051,-68.9
2010,Gunnison,Real estate and rental and leasing,56.0,8051,1.1
2010,Gunnison,Government and government enterprises,83.0,8051,2
2010,Hinsdale,All industry total,1.0,8053,1.6
2010,Hinsdale,Private industries,2.0,8053,1
2010,Hinsdale,"Agriculture, forestry, fishing and hunting",3.0,8053,(D)
2010,Hinsdale,Real estate and rental and leasing,56.0,8053,(D)
2010,Hinsdale,Government and government enterprises,83.0,8053,6.5
2010,Huerfano,All industry total,1.0,8055,-0.4
2010,Huerfano,Private industries,2.0,8055,-0.2
2010,Huerfano,"Agriculture, forestry, fishing and hunting",3.0,8055,-80.6
2010,Huerfano,Real estate and rental and leasing,56.0,8055,0.6
2010,Huerfano,Government and government enterprises,83.0,8055,-2.2
2010,Jackson,All industry total,1.0,8057,0.1
2010,Jackson,Private industries,2.0,8057,-1
2010,Jackson,"Agriculture, forestry, fishing and hunting",3.0,8057,(D)
2010,Jackson,Real estate and rental and leasing,56.0,8057,(D)
2010,Jackson,Government and government enterprises,83.0,8057,5.9
2010,Jefferson,All industry total,1.0,8059,3.3
2010,Jefferson,Private industries,2.0,8059,3.3
2010,Jefferson,"Agriculture, forestry, fishing and hunting",3.0,8059,-58.2
2010,Jefferson,Real estate and rental and leasing,56.0,8059,2.2
2010,Jefferson,Government and government enterprises,83.0,8059,2.8
2010,Kiowa,All industry total,1.0,8061,19.9
2010,Kiowa,Private industries,2.0,8061,22.5
2010,Kiowa,"Agriculture, forestry, fishing and hunting",3.0,8061,(D)
2010,Kiowa,Real estate and rental and leasing,56.0,8061,(D)
2010,Kiowa,Government and government enterprises,83.0,8061,8
2010,Lake,All industry total,1.0,8065,-0.3
2010,Lake,Private industries,2.0,8065,-1.3
2010,Lake,"Agriculture, forestry, fishing and hunting",3.0,8065,(D)
2010,Lake,Real estate and rental and leasing,56.0,8065,-1.6
2010,Lake,Government and government enterprises,83.0,8065,2.6
2010,Larimer,All industry total,1.0,8069,2.5
2010,Larimer,Private industries,2.0,8069,2.8
2010,Larimer,"Agriculture, forestry, fishing and hunting",3.0,8069,50.5
2010,Larimer,Real estate and rental and leasing,56.0,8069,1.1
2010,Larimer,Government and government enterprises,83.0,8069,0.6
2010,Lincoln,All industry total,1.0,8073,2.4
2010,Lincoln,Private industries,2.0,8073,3.1
2010,Lincoln,"Agriculture, forestry, fishing and hunting",3.0,8073,(D)
2010,Lincoln,Real estate and rental and leasing,56.0,8073,-0.5
2010,Lincoln,Government and government enterprises,83.0,8073,1.1
2010,Logan,All industry total,1.0,8075,9.9
2010,Logan,Private industries,2.0,8075,12.1
2010,Logan,"Agriculture, forestry, fishing and hunting",3.0,8075,56.7
2010,Logan,Real estate and rental and leasing,56.0,8075,0.6
2010,Logan,Government and government enterprises,83.0,8075,-1.5
2010,Mesa,All industry total,1.0,8077,-3.3
2010,Mesa,Private industries,2.0,8077,-3.8
2010,Mesa,"Agriculture, forestry, fishing and hunting",3.0,8077,-71.7
2010,Mesa,Real estate and rental and leasing,56.0,8077,0.1
2010,Mesa,Government and government enterprises,83.0,8077,-0.3
2010,Mineral,All industry total,1.0,8079,0.8
2010,Mineral,Private industries,2.0,8079,0.7
2010,Mineral,"Agriculture, forestry, fishing and hunting",3.0,8079,(D)
2010,Mineral,Real estate and rental and leasing,56.0,8079,(D)
2010,Mineral,Government and government enterprises,83.0,8079,1.7
2010,Moffat,All industry total,1.0,8081,3.5
2010,Moffat,Private industries,2.0,8081,3.9
2010,Moffat,"Agriculture, forestry, fishing and hunting",3.0,8081,-75.7
2010,Moffat,Real estate and rental and leasing,56.0,8081,-0.9
2010,Moffat,Government and government enterprises,83.0,8081,-0.8
2010,Montezuma,All industry total,1.0,8083,-15.2
2010,Montezuma,Private industries,2.0,8083,-17.3
2010,Montezuma,"Agriculture, forestry, fishing and hunting",3.0,8083,-55.8
2010,Montezuma,Real estate and rental and leasing,56.0,8083,-1.5
2010,Montezuma,Government and government enterprises,83.0,8083,2.7
2010,Montrose,All industry total,1.0,8085,-3.8
2010,Montrose,Private industries,2.0,8085,-4.8
2010,Montrose,"Agriculture, forestry, fishing and hunting",3.0,8085,-62.4
2010,Montrose,Real estate and rental and leasing,56.0,8085,-3.9
2010,Montrose,Government and government enterprises,83.0,8085,1.7
2010,Morgan,All industry total,1.0,8087,14.1
2010,Morgan,Private industries,2.0,8087,16
2010,Morgan,"Agriculture, forestry, fishing and hunting",3.0,8087,264
2010,Morgan,Real estate and rental and leasing,56.0,8087,2.4
2010,Morgan,Government and government enterprises,83.0,8087,-1.1
2010,Otero,All industry total,1.0,8089,3.3
2010,Otero,Private industries,2.0,8089,3.4
2010,Otero,"Agriculture, forestry, fishing and hunting",3.0,8089,4.7
2010,Otero,Real estate and rental and leasing,56.0,8089,1.7
2010,Otero,Government and government enterprises,83.0,8089,3.1
2010,Ouray,All industry total,1.0,8091,-4.4
2010,Ouray,Private industries,2.0,8091,-5.4
2010,Ouray,"Agriculture, forestry, fishing and hunting",3.0,8091,-80.6
2010,Ouray,Real estate and rental and leasing,56.0,8091,1.4
2010,Ouray,Government and government enterprises,83.0,8091,2.4
2010,Park,All industry total,1.0,8093,1.6
2010,Park,Private industries,2.0,8093,1
2010,Park,"Agriculture, forestry, fishing and hunting",3.0,8093,-74.2
2010,Park,Real estate and rental and leasing,56.0,8093,0.7
2010,Park,Government and government enterprises,83.0,8093,5.2
2010,Phillips,All industry total,1.0,8095,2.1
2010,Phillips,Private industries,2.0,8095,1.8
2010,Phillips,"Agriculture, forestry, fishing and hunting",3.0,8095,-3.7
2010,Phillips,Real estate and rental and leasing,56.0,8095,(D)
2010,Phillips,Government and government enterprises,83.0,8095,4
2010,Pitkin,All industry total,1.0,8097,-0.5
2010,Pitkin,Private industries,2.0,8097,-0.6
2010,Pitkin,"Agriculture, forestry, fishing and hunting",3.0,8097,(D)
2010,Pitkin,Real estate and rental and leasing,56.0,8097,12.9
2010,Pitkin,Government and government enterprises,83.0,8097,0.7
2010,Prowers,All industry total,1.0,8099,-1.4
2010,Prowers,Private industries,2.0,8099,-1.8
2010,Prowers,"Agriculture, forestry, fishing and hunting",3.0,8099,-15
2010,Prowers,Real estate and rental and leasing,56.0,8099,-0.1
2010,Prowers,Government and government enterprises,83.0,8099,0.2
2010,Pueblo,All industry total,1.0,8101,3.5
2010,Pueblo,Private industries,2.0,8101,4
2010,Pueblo,"Agriculture, forestry, fishing and hunting",3.0,8101,-60.2
2010,Pueblo,Real estate and rental and leasing,56.0,8101,1.6
2010,Pueblo,Government and government enterprises,83.0,8101,1.3
2010,Routt,All industry total,1.0,8107,4.3
2010,Routt,Private industries,2.0,8107,4.5
2010,Routt,"Agriculture, forestry, fishing and hunting",3.0,8107,(D)
2010,Routt,Real estate and rental and leasing,56.0,8107,-1.1
2010,Routt,Government and government enterprises,83.0,8107,1
2010,Saguache,All industry total,1.0,8109,-0.3
2010,Saguache,Private industries,2.0,8109,-2
2010,Saguache,"Agriculture, forestry, fishing and hunting",3.0,8109,-12.5
2010,Saguache,Real estate and rental and leasing,56.0,8109,(D)
2010,Saguache,Government and government enterprises,83.0,8109,7.3
2010,Sedgwick,All industry total,1.0,8115,1.2
2010,Sedgwick,Private industries,2.0,8115,0.8
2010,Sedgwick,"Agriculture, forestry, fishing and hunting",3.0,8115,(D)
2010,Sedgwick,Real estate and rental and leasing,56.0,8115,(D)
2010,Sedgwick,Government and government enterprises,83.0,8115,3.9
2010,Summit,All industry total,1.0,8117,1.4
2010,Summit,Private industries,2.0,8117,1.4
2010,Summit,"Agriculture, forestry, fishing and hunting",3.0,8117,(D)
2010,Summit,Real estate and rental and leasing,56.0,8117,3.3
2010,Summit,Government and government enterprises,83.0,8117,1.6
2010,Teller,All industry total,1.0,8119,3.2
2010,Teller,Private industries,2.0,8119,3.3
2010,Teller,"Agriculture, forestry, fishing and hunting",3.0,8119,(D)
2010,Teller,Real estate and rental and leasing,56.0,8119,2
2010,Teller,Government and government enterprises,83.0,8119,2.3
2010,Washington,All industry total,1.0,8121,2.5
2010,Washington,Private industries,2.0,8121,2.4
2010,Washington,"Agriculture, forestry, fishing and hunting",3.0,8121,-4
2010,Washington,Real estate and rental and leasing,56.0,8121,(D)
2010,Washington,Government and government enterprises,83.0,8121,3.2
2010,Weld,All industry total,1.0,8123,7.7
2010,Weld,Private industries,2.0,8123,8.4
2010,Weld,"Agriculture, forestry, fishing and hunting",3.0,8123,(D)
2010,Weld,Real estate and rental and leasing,56.0,8123,0.5
2010,Weld,Government and government enterprises,83.0,8123,1
2010,Yuma,All industry total,1.0,8125,32.1
2010,Yuma,Private industries,2.0,8125,35.9
2010,Yuma,"Agriculture, forestry, fishing and hunting",3.0,8125,159.8
2010,Yuma,Real estate and rental and leasing,56.0,8125,4.7
2010,Yuma,Government and government enterprises,83.0,8125,0.4
2011,Adams,All industry total,1.0,8001,3.6
2011,Adams,Private industries,2.0,8001,4.5
2011,Adams,"Agriculture, forestry, fishing and hunting",3.0,8001,72.5
2011,Adams,Real estate and rental and leasing,56.0,8001,1.7
2011,Adams,Government and government enterprises,83.0,8001,-0.6
2011,Alamosa,All industry total,1.0,8003,6.4
2011,Alamosa,Private industries,2.0,8003,8.1
2011,Alamosa,"Agriculture, forestry, fishing and hunting",3.0,8003,195
2011,Alamosa,Real estate and rental and leasing,56.0,8003,0
2011,Alamosa,Government and government enterprises,83.0,8003,0.2
2011,Arapahoe,All industry total,1.0,8005,5.5
2011,Arapahoe,Private industries,2.0,8005,5.9
2011,Arapahoe,"Agriculture, forestry, fishing and hunting",3.0,8005,166.7
2011,Arapahoe,Real estate and rental and leasing,56.0,8005,37.2
2011,Arapahoe,Government and government enterprises,83.0,8005,0.6
2011,Archuleta,All industry total,1.0,8007,1.1
2011,Archuleta,Private industries,2.0,8007,1.4
2011,Archuleta,"Agriculture, forestry, fishing and hunting",3.0,8007,-38.9
2011,Archuleta,Real estate and rental and leasing,56.0,8007,2.3
2011,Archuleta,Government and government enterprises,83.0,8007,-0.6
2011,Baca,All industry total,1.0,8009,5.8
2011,Baca,Private industries,2.0,8009,7.3
2011,Baca,"Agriculture, forestry, fishing and hunting",3.0,8009,17
2011,Baca,Real estate and rental and leasing,56.0,8009,(D)
2011,Baca,Government and government enterprises,83.0,8009,-1.2
2011,Bent,All industry total,1.0,8011,26.3
2011,Bent,Private industries,2.0,8011,39.7
2011,Bent,"Agriculture, forestry, fishing and hunting",3.0,8011,65.7
2011,Bent,Real estate and rental and leasing,56.0,8011,2.5
2011,Bent,Government and government enterprises,83.0,8011,-11.2
2011,Boulder,All industry total,1.0,8013,1
2011,Boulder,Private industries,2.0,8013,1.3
2011,Boulder,"Agriculture, forestry, fishing and hunting",3.0,8013,485.3
2011,Boulder,Real estate and rental and leasing,56.0,8013,1.5
2011,Boulder,Government and government enterprises,83.0,8013,-0.9
2011,Broomfield,All industry total,1.0,8014,11
2011,Broomfield,Private industries,2.0,8014,11.3
2011,Broomfield,"Agriculture, forestry, fishing and hunting",3.0,8014,15.5
2011,Broomfield,Real estate and rental and leasing,56.0,8014,-0.2
2011,Broomfield,Government and government enterprises,83.0,8014,-5
2011,Chaffee,All industry total,1.0,8015,1.8
2011,Chaffee,Private industries,2.0,8015,2.6
2011,Chaffee,"Agriculture, forestry, fishing and hunting",3.0,8015,-17.7
2011,Chaffee,Real estate and rental and leasing,56.0,8015,2.9
2011,Chaffee,Government and government enterprises,83.0,8015,-1.7
2011,Cheyenne,All industry total,1.0,8017,2.2
2011,Cheyenne,Private industries,2.0,8017,2.6
2011,Cheyenne,"Agriculture, forestry, fishing and hunting",3.0,8017,-4.8
2011,Cheyenne,Real estate and rental and leasing,56.0,8017,(D)
2011,Cheyenne,Government and government enterprises,83.0,8017,-3.7
2011,Conejos,All industry total,1.0,8021,20.4
2011,Conejos,Private industries,2.0,8021,26.5
2011,Conejos,"Agriculture, forestry, fishing and hunting",3.0,8021,529.6
2011,Conejos,Real estate and rental and leasing,56.0,8021,(D)
2011,Conejos,Government and government enterprises,83.0,8021,-2.6
2011,Costilla,All industry total,1.0,8023,24.9
2011,Costilla,Private industries,2.0,8023,31.3
2011,Costilla,"Agriculture, forestry, fishing and hunting",3.0,8023,1082.1
2011,Costilla,Real estate and rental and leasing,56.0,8023,(D)
2011,Costilla,Government and government enterprises,83.0,8023,-1.2
2011,Crowley,All industry total,1.0,8025,-7.5
2011,Crowley,Private industries,2.0,8025,-10.2
2011,Crowley,"Agriculture, forestry, fishing and hunting",3.0,8025,-88.2
2011,Crowley,Real estate and rental and leasing,56.0,8025,(D)
2011,Crowley,Government and government enterprises,83.0,8025,-2.3
2011,Custer,All industry total,1.0,8027,-0.5
2011,Custer,Private industries,2.0,8027,-0.1
2011,Custer,"Agriculture, forestry, fishing and hunting",3.0,8027,-34.8
2011,Custer,Real estate and rental and leasing,56.0,8027,0.3
2011,Custer,Government and government enterprises,83.0,8027,-3.4
2011,Delta,All industry total,1.0,8029,12
2011,Delta,Private industries,2.0,8029,15.6
2011,Delta,"Agriculture, forestry, fishing and hunting",3.0,8029,157.5
2011,Delta,Real estate and rental and leasing,56.0,8029,-1.4
2011,Delta,Government and government enterprises,83.0,8029,-3.4
2011,Denver,All industry total,1.0,8031,2.7
2011,Denver,Private industries,2.0,8031,2.9
2011,Denver,"Agriculture, forestry, fishing and hunting",3.0,8031,-69.5
2011,Denver,Real estate and rental and leasing,56.0,8031,6.7
2011,Denver,Government and government enterprises,83.0,8031,0.8
2011,Dolores,All industry total,1.0,8033,-0.9
2011,Dolores,Private industries,2.0,8033,-1
2011,Dolores,"Agriculture, forestry, fishing and hunting",3.0,8033,2266.2
2011,Dolores,Real estate and rental and leasing,56.0,8033,(D)
2011,Dolores,Government and government enterprises,83.0,8033,-0.3
2011,Douglas,All industry total,1.0,8035,1.8
2011,Douglas,Private industries,2.0,8035,2.1
2011,Douglas,"Agriculture, forestry, fishing and hunting",3.0,8035,(D)
2011,Douglas,Real estate and rental and leasing,56.0,8035,5.1
2011,Douglas,Government and government enterprises,83.0,8035,-3.3
2011,Eagle,All industry total,1.0,8037,-1.5
2011,Eagle,Private industries,2.0,8037,-1.4
2011,Eagle,"Agriculture, forestry, fishing and hunting",3.0,8037,99.3
2011,Eagle,Real estate and rental and leasing,56.0,8037,-6.9
2011,Eagle,Government and government enterprises,83.0,8037,-3.3
2011,Elbert,All industry total,1.0,8039,2
2011,Elbert,Private industries,2.0,8039,3.6
2011,Elbert,"Agriculture, forestry, fishing and hunting",3.0,8039,5.8
2011,Elbert,Real estate and rental and leasing,56.0,8039,3.6
2011,Elbert,Government and government enterprises,83.0,8039,-7.5
2011,Fremont,All industry total,1.0,8043,3
2011,Fremont,Private industries,2.0,8043,3.2
2011,Fremont,"Agriculture, forestry, fishing and hunting",3.0,8043,-52.2
2011,Fremont,Real estate and rental and leasing,56.0,8043,4.5
2011,Fremont,Government and government enterprises,83.0,8043,2.6
2011,Garfield,All industry total,1.0,8045,0.7
2011,Garfield,Private industries,2.0,8045,0.9
2011,Garfield,"Agriculture, forestry, fishing and hunting",3.0,8045,-35.9
2011,Garfield,Real estate and rental and leasing,56.0,8045,3.1
2011,Garfield,Government and government enterprises,83.0,8045,-1.7
2011,Gilpin,All industry total,1.0,8047,-6.2
2011,Gilpin,Private industries,2.0,8047,-6.6
2011,Gilpin,"Agriculture, forestry, fishing and hunting",3.0,8047,(D)
2011,Gilpin,Real estate and rental and leasing,56.0,8047,5
2011,Gilpin,Government and government enterprises,83.0,8047,1.3
2011,Grand,All industry total,1.0,8049,1.2
2011,Grand,Private industries,2.0,8049,2.1
2011,Grand,"Agriculture, forestry, fishing and hunting",3.0,8049,(D)
2011,Grand,Real estate and rental and leasing,56.0,8049,2.2
2011,Grand,Government and government enterprises,83.0,8049,-4
2011,Gunnison,All industry total,1.0,8051,1.3
2011,Gunnison,Private industries,2.0,8051,1.4
2011,Gunnison,"Agriculture, forestry, fishing and hunting",3.0,8051,-39.6
2011,Gunnison,Real estate and rental and leasing,56.0,8051,2.1
2011,Gunnison,Government and government enterprises,83.0,8051,0.6
2011,Hinsdale,All industry total,1.0,8053,1
2011,Hinsdale,Private industries,2.0,8053,1.4
2011,Hinsdale,"Agriculture, forestry, fishing and hunting",3.0,8053,(D)
2011,Hinsdale,Real estate and rental and leasing,56.0,8053,(D)
2011,Hinsdale,Government and government enterprises,83.0,8053,-2.2
2011,Huerfano,All industry total,1.0,8055,0.2
2011,Huerfano,Private industries,2.0,8055,0.7
2011,Huerfano,"Agriculture, forestry, fishing and hunting",3.0,8055,-55.4
2011,Huerfano,Real estate and rental and leasing,56.0,8055,2.7
2011,Huerfano,Government and government enterprises,83.0,8055,-4.8
2011,Jackson,All industry total,1.0,8057,11.1
2011,Jackson,Private industries,2.0,8057,12.3
2011,Jackson,"Agriculture, forestry, fishing and hunting",3.0,8057,36.1
2011,Jackson,Real estate and rental and leasing,56.0,8057,(D)
2011,Jackson,Government and government enterprises,83.0,8057,5.5
2011,Jefferson,All industry total,1.0,8059,1.2
2011,Jefferson,Private industries,2.0,8059,1.4
2011,Jefferson,"Agriculture, forestry, fishing and hunting",3.0,8059,342.1
2011,Jefferson,Real estate and rental and leasing,56.0,8059,3.6
2011,Jefferson,Government and government enterprises,83.0,8059,-0.4
2011,Kiowa,All industry total,1.0,8061,3.2
2011,Kiowa,Private industries,2.0,8061,3.2
2011,Kiowa,"Agriculture, forestry, fishing and hunting",3.0,8061,(D)
2011,Kiowa,Real estate and rental and leasing,56.0,8061,(D)
2011,Kiowa,Government and government enterprises,83.0,8061,3.1
2011,Lake,All industry total,1.0,8065,11.9
2011,Lake,Private industries,2.0,8065,18.5
2011,Lake,"Agriculture, forestry, fishing and hunting",3.0,8065,(D)
2011,Lake,Real estate and rental and leasing,56.0,8065,0.3
2011,Lake,Government and government enterprises,83.0,8065,-6.3
2011,Larimer,All industry total,1.0,8069,2.2
2011,Larimer,Private industries,2.0,8069,2.6
2011,Larimer,"Agriculture, forestry, fishing and hunting",3.0,8069,27.2
2011,Larimer,Real estate and rental and leasing,56.0,8069,3.2
2011,Larimer,Government and government enterprises,83.0,8069,0.4
2011,Lincoln,All industry total,1.0,8073,25
2011,Lincoln,Private industries,2.0,8073,37.7
2011,Lincoln,"Agriculture, forestry, fishing and hunting",3.0,8073,(D)
2011,Lincoln,Real estate and rental and leasing,56.0,8073,1.4
2011,Lincoln,Government and government enterprises,83.0,8073,-2.2
2011,Logan,All industry total,1.0,8075,4.7
2011,Logan,Private industries,2.0,8075,5.6
2011,Logan,"Agriculture, forestry, fishing and hunting",3.0,8075,-13
2011,Logan,Real estate and rental and leasing,56.0,8075,0.9
2011,Logan,Government and government enterprises,83.0,8075,-1
2011,Mesa,All industry total,1.0,8077,2.1
2011,Mesa,Private industries,2.0,8077,2.8
2011,Mesa,"Agriculture, forestry, fishing and hunting",3.0,8077,(D)
2011,Mesa,Real estate and rental and leasing,56.0,8077,1
2011,Mesa,Government and government enterprises,83.0,8077,-2.3
2011,Mineral,All industry total,1.0,8079,13.5
2011,Mineral,Private industries,2.0,8079,15.8
2011,Mineral,"Agriculture, forestry, fishing and hunting",3.0,8079,(D)
2011,Mineral,Real estate and rental and leasing,56.0,8079,(D)
2011,Mineral,Government and government enterprises,83.0,8079,-6.1
2011,Moffat,All industry total,1.0,8081,-0.1
2011,Moffat,Private industries,2.0,8081,0
2011,Moffat,"Agriculture, forestry, fishing and hunting",3.0,8081,153.3
2011,Moffat,Real estate and rental and leasing,56.0,8081,2.2
2011,Moffat,Government and government enterprises,83.0,8081,-1.1
2011,Montezuma,All industry total,1.0,8083,40.9
2011,Montezuma,Private industries,2.0,8083,46.9
2011,Montezuma,"Agriculture, forestry, fishing and hunting",3.0,8083,-23.8
2011,Montezuma,Real estate and rental and leasing,56.0,8083,0.9
2011,Montezuma,Government and government enterprises,83.0,8083,-1
2011,Montrose,All industry total,1.0,8085,0.2
2011,Montrose,Private industries,2.0,8085,0.6
2011,Montrose,"Agriculture, forestry, fishing and hunting",3.0,8085,8.8
2011,Montrose,Real estate and rental and leasing,56.0,8085,0.7
2011,Montrose,Government and government enterprises,83.0,8085,-2.1
2011,Morgan,All industry total,1.0,8087,2.2
2011,Morgan,Private industries,2.0,8087,2.7
2011,Morgan,"Agriculture, forestry, fishing and hunting",3.0,8087,14.4
2011,Morgan,Real estate and rental and leasing,56.0,8087,2.9
2011,Morgan,Government and government enterprises,83.0,8087,-2.1
2011,Otero,All industry total,1.0,8089,5.6
